BTC1,BTC2,BTC3,BTC4,BTC5,RTC1,RTC2,RTC3,RTC4,RTC5,WIN
111,99,139,118,32,52,65,63,98,40,100
111,99,139,118,32,52,65,63,98,40,100
32,40,27,11,25,21,68,7,99,82,100
95,131,123,47,58,142,84,9,27,11,100
88,95,46,63,114,75,72,98,21,40,100
141,56,116,71,72,0,136,37,97,28,0
19,62,29,72,63,100,35,67,24,46,0
61,11,85,100,26,115,75,51,15,65,100
99,128,72,21,62,40,65,11,25,112,0
99,128,72,21,62,40,65,11,25,112,0
88,72,41,12,18,73,99,62,113,97,100
79,0,77,136,131,82,146,29,42,65,100
109,2,25,65,100,104,62,72,99,61,100
73,144,77,139,62,102,65,146,87,92,100
42,64,72,82,20,73,142,35,7,139,100
90,20,99,61,62,72,84,63,114,34,0
1,16,23,42,43,0,24,109,65,17,100
75,79,30,72,0,37,59,145,114,29,100
52,72,108,40,62,99,119,8,29,79,0
52,72,108,40,62,99,119,8,29,79,0
24,15,129,146,16,99,113,22,37,111,0
24,15,129,146,16,99,113,22,37,111,0
2,135,42,114,27,51,102,139,136,12,100
71,77,2,7,127,118,112,99,93,94,100
63,80,8,128,68,62,66,29,51,7,0
65,59,31,22,12,104,99,13,128,16,100
99,113,85,65,25,2,63,48,72,93,0
99,113,85,65,25,2,63,48,72,93,0
62,2,99,112,93,88,48,142,17,87,100
93,82,97,7,63,61,40,65,14,48,100
93,82,97,7,63,61,40,65,14,48,100
12,61,32,17,62,0,27,45,114,77,100
35,99,0,77,122,136,24,90,2,139,100
12,2,136,24,88,97,32,72,92,14,100
63,23,43,34,96,29,62,14,65,132,100
77,45,2,72,62,114,117,63,25,115,100
93,114,38,16,77,59,65,72,25,63,100
93,114,38,16,77,59,65,72,25,63,100
65,139,92,12,97,73,112,62,99,90,100
65,139,92,12,97,73,112,62,99,90,100
72,147,24,95,35,8,74,82,112,20,0
132,99,84,92,53,93,72,30,25,118,0
7,111,146,73,77,27,48,0,69,74,100
111,65,139,79,42,62,99,126,96,18,0
52,121,23,57,66,115,72,134,58,42,0
45,63,114,24,65,117,115,7,99,25,100
128,16,99,79,45,146,46,118,62,96,0
36,72,0,97,77,62,65,112,61,90,0
26,87,121,51,40,112,92,7,73,14,0
26,87,121,51,40,112,92,7,73,14,0
21,139,77,16,79,99,111,88,7,20,0
146,63,65,0,62,74,85,93,25,27,0
102,63,62,65,97,56,48,126,118,2,100
73,38,71,63,116,111,118,122,140,65,0
24,95,99,137,14,83,87,62,48,0,100
48,81,73,90,65,31,29,99,53,111,100
118,7,114,52,0,132,87,138,1,8,100
114,99,62,73,63,95,56,30,3,139,0
114,99,62,73,63,95,56,30,3,139,0
114,99,62,73,63,95,56,30,3,139,0
89,46,77,97,62,107,146,90,65,72,100
14,31,138,7,85,33,48,63,99,2,0
14,31,138,7,85,33,48,63,99,2,0
16,3,57,40,17,29,97,72,24,77,0
16,3,57,40,17,29,97,72,24,77,0
11,132,85,27,114,56,7,118,73,55,100
81,2,72,116,40,136,65,25,95,12,0
121,113,111,99,79,139,35,40,12,2,100
122,63,48,25,0,11,45,83,62,99,100
87,45,25,65,52,27,2,117,77,62,100
62,65,132,67,32,77,139,2,92,21,100
62,30,93,99,113,79,59,72,112,75,100
77,62,132,72,114,40,27,112,86,51,0
2,63,65,79,119,72,40,25,90,24,100
88,24,40,77,27,25,127,35,0,115,100
139,77,25,73,72,84,51,113,99,65,100
86,79,7,0,77,99,114,85,96,118,100
86,79,7,0,77,99,114,85,96,118,100
86,79,7,0,77,99,114,85,96,118,100
138,97,7,24,118,99,29,122,62,77,100
65,24,133,17,118,79,115,16,63,99,100
95,7,63,98,61,65,77,120,72,139,0
7,3,51,40,102,72,146,111,41,77,0
20,72,5,12,24,74,0,132,15,82,0
62,145,45,46,122,92,65,77,29,111,100
103,118,7,0,40,35,132,139,122,62,100
103,118,7,0,40,35,132,139,122,62,100
65,73,14,126,48,113,96,99,2,92,100
35,53,72,99,33,0,62,87,112,40,100
102,52,25,48,87,96,62,21,99,72,100
102,52,25,48,87,96,62,21,99,72,100
82,17,44,147,27,108,62,7,9,40,100
82,29,126,118,146,77,85,24,99,0,100
45,77,40,24,99,11,43,131,53,72,0
63,48,56,35,65,99,30,2,27,88,0
63,48,56,35,65,99,30,2,27,88,0
111,137,5,65,95,72,66,96,124,88,100
139,46,63,117,92,96,62,135,42,136,0
14,35,88,72,40,73,126,114,31,65,0
112,80,48,29,11,35,139,7,20,21,100
112,80,48,29,11,35,139,7,20,21,100
72,74,0,30,92,118,99,65,9,62,100
82,96,84,146,23,90,62,136,16,2,100
139,118,72,25,21,93,43,96,27,63,0
65,29,101,75,21,25,111,77,136,85,100
136,139,25,14,34,97,48,16,51,11,100
25,11,72,93,45,114,46,13,16,96,0
25,11,72,93,45,114,46,13,16,96,0
25,11,72,93,45,114,46,13,16,96,0
53,41,29,118,72,136,20,94,84,31,0
27,45,129,26,44,118,92,117,65,40,0
85,114,88,65,32,7,111,118,43,4,0
